SUBJECT,TRIAL,REACTION_TIME,CORRECT,TYPE_OF_TASK
IDU010,10,3701,-1,5
IDU010,10,434,-1,3
IDU010,11,534,-1,2
IDU010,11,2635,-1,4
IDU010,11,3169,-1,5
IDU010,11,201,-1,3
IDU010,12,801,-1,2
IDU010,12,3102,-1,4
IDU010,12,3903,-1,5
IDU010,13,1100,-1,2
IDU010,13,2501,-1,4
IDU010,13,3601,-1,5
IDU010,13,468,-1,3
IDU010,14,333,-1,2
IDU010,14,4236,-1,4
IDU010,14,4569,-1,5
IDU010,15,634,-1,2
IDU010,15,2636,-1,4
IDU010,15,3270,-1,5
IDU010,15,534,-1,3
IDU010,16,200,-1,2
IDU010,16,3936,-1,4
IDU010,16,4136,-1,5
IDU011,1,368,1,0
IDU011,2,388,1,0
IDU011,3,266,1,0
IDU011,4,297,1,0
IDU011,5,-1,1,0
IDU011,6,287,1,0
IDU011,7,483,0,0
IDU011,8,375,1,0
IDU011,9,-1,1,0
IDU011,10,290,1,0
IDU011,11,430,1,0
IDU011,12,392,1,0
IDU011,13,410,1,0
IDU011,14,-1,1,0
IDU011,15,395,1,0
IDU011,16,399,1,0
IDU011,17,365,1,0
IDU011,18,331,1,0
IDU011,19,-1,1,0
IDU011,20,269,1,0
IDU011,21,422,1,0
IDU011,22,-1,1,0
IDU011,23,281,1,0
IDU011,24,434,1,0
IDU011,25,347,1,0
IDU011,26,300,1,0
IDU011,27,410,1,0
IDU011,28,-1,1,0
IDU011,29,315,1,0
IDU011,30,303,1,0
IDU011,31,343,1,0
IDU011,32,276,1,0
IDU011,33,301,1,0
IDU011,34,258,1,0
IDU011,35,284,1,0
IDU011,36,351,1,0
IDU011,37,236,1,0
IDU011,38,236,1,0
IDU011,39,238,1,0
IDU011,40,315,1,0
IDU011,41,258,1,0
IDU011,42,-1,1,0
IDU011,43,304,1,0
IDU011,44,354,1,0
IDU011,45,265,1,0
IDU011,46,230,1,0
IDU011,47,288,1,0
IDU011,48,-1,1,0
IDU011,49,232,1,0
IDU011,50,311,1,0
IDU011,51,-1,1,0
IDU011,52,315,1,0
IDU011,53,322,1,0
IDU011,54,320,1,0
IDU011,55,-1,1,0
IDU011,56,276,1,0
IDU011,57,315,1,0
IDU011,58,332,1,0
IDU011,59,-1,1,0
IDU011,60,301,1,0
IDU011,61,376,1,0
IDU011,62,312,1,0
IDU011,63,-1,1,0
IDU011,64,216,1,0
IDU011,65,270,1,0
IDU011,66,-1,1,0
IDU011,67,266,1,0
IDU011,68,-1,1,0
IDU011,69,529,1,0
IDU011,70,-1,1,0
IDU011,71,351,1,0
IDU011,72,418,1,0
IDU011,73,-1,1,0
IDU011,74,438,1,0
IDU011,75,454,1,0
IDU011,76,382,1,0
IDU011,77,316,1,0
IDU011,1,900,1,1
IDU011,2,2281,1,1
IDU011,3,995,1,1
IDU011,4,1783,1,1
IDU011,5,1141,1,1
IDU011,6,893,1,1
IDU011,7,946,1,1
IDU011,8,919,1,1
IDU011,9,1120,1,1
IDU011,10,949,1,1
IDU011,11,1089,1,1
IDU011,12,1476,1,1
IDU011,13,1113,1,1
IDU011,14,765,1,1
IDU011,15,1190,1,1
IDU011,16,1263,1,1
IDU011,17,816,1,1
IDU011,18,1097,1,1
IDU011,19,901,1,1
IDU011,20,890,1,1
IDU011,21,1445,1,1
IDU011,22,1029,1,1
IDU011,23,961,1,1
IDU011,24,979,1,1
IDU011,1,801,-1,2
IDU011,1,267,-1,4
IDU011,1,1068,-1,5
IDU011,1,1167,-1,3
IDU011,2,568,-1,2
IDU011,2,767,-1,4
IDU011,2,1335,-1,5
IDU011,2,600,-1,3
IDU011,3,734,-1,2
IDU011,3,600,-1,4
IDU011,3,1334,-1,5
IDU011,3,767,-1,3
IDU011,4,667,-1,2
IDU011,4,434,-1,4
IDU011,4,1101,-1,5
IDU011,4,500,-1,3
IDU011,5,533,-1,2
IDU011,5,633,-1,4
IDU011,5,1166,-1,5
IDU011,5,634,-1,3
IDU011,6,700,-1,2
IDU011,6,367,-1,4
IDU011,6,1067,-1,5
IDU011,6,600,-1,3
IDU011,7,667,-1,2
IDU011,7,367,-1,4
IDU011,7,1034,-1,5
IDU011,7,234,-1,3
IDU011,8,634,-1,2
IDU011,8,401,-1,4
IDU011,8,1035,-1,5
IDU011,8,467,-1,3
IDU011,9,601,-1,2
IDU011,9,500,-1,4
IDU011,9,1101,-1,5
IDU011,9,533,-1,3
IDU011,10,567,-1,2
IDU011,10,668,-1,4
IDU011,10,1235,-1,5
IDU011,10,467,-1,3
IDU011,11,468,-1,2
IDU011,11,567,-1,4
IDU011,11,1035,-1,5
IDU011,12,734,-1,2
IDU011,12,434,-1,4
IDU011,12,1168,-1,5
IDU011,12,634,-1,3
IDU011,13,600,-1,2
IDU011,13,567,-1,4
IDU011,13,1167,-1,5
IDU011,13,534,-1,3
IDU011,14,567,-1,2
IDU011,14,600,-1,4
IDU011,14,1167,-1,5
IDU011,15,667,-1,2
IDU011,15,400,-1,4
IDU011,15,1067,-1,5
IDU011,15,667,-1,3
IDU011,16,634,-1,2
IDU011,16,334,-1,4
IDU011,16,968,-1,5
IDU011,16,767,-1,3
IDU011,17,667,-1,2
IDU011,17,834,-1,4
IDU011,17,1501,-1,5
IDU011,17,534,-1,3
IDU012,1,334,1,0
IDU012,2,342,1,0
IDU012,3,244,1,0
IDU012,4,274,1,0
IDU012,5,313,1,0
IDU012,6,265,1,0
IDU012,7,322,1,0
IDU012,8,240,1,0
IDU012,9,244,1,0
IDU012,10,241,1,0
IDU012,11,260,1,0
IDU012,12,231,1,0
IDU012,13,101,1,0
IDU012,14,204,1,0
IDU012,15,211,1,0
IDU012,16,195,0,0
IDU012,17,320,1,0
IDU012,18,271,1,0
IDU012,19,334,1,0
IDU012,20,261,0,0
IDU012,21,329,1,0
IDU012,22,-1,1,0
IDU012,23,357,1,0
IDU012,24,-1,1,0
IDU012,25,291,1,0
IDU012,26,400,1,0
IDU012,27,344,1,0
IDU012,28,-1,1,0
IDU012,29,333,1,0
IDU012,30,341,1,0
IDU012,31,360,1,0
IDU012,32,339,1,0
IDU012,33,-1,1,0
IDU012,34,353,1,0
IDU012,35,392,1,0
IDU012,36,-1,1,0
IDU012,37,283,1,0
IDU012,38,341,1,0
IDU012,39,326,1,0
IDU012,40,311,1,0
IDU012,41,312,1,0
IDU012,42,-1,1,0
IDU012,43,300,1,0
IDU012,44,263,1,0
IDU012,45,297,1,0
IDU012,46,-1,1,0
IDU012,47,303,1,0
IDU012,48,370,1,0
IDU012,49,270,1,0
IDU012,50,313,1,0
IDU012,51,-1,1,0
IDU012,52,263,1,0
IDU012,53,324,1,0
IDU012,54,-1,1,0
IDU012,55,298,1,0
IDU012,56,-1,1,0
IDU012,57,303,1,0
IDU012,58,327,1,0
IDU012,59,314,1,0
