SUBJECT,TRIAL,REACTION_TIME,CORRECT,TYPE_OF_TASK
IDU031,29,-1,1,0
IDU031,30,243,1,0
IDU031,31,259,1,0
IDU031,32,-1,1,0
IDU031,33,248,1,0
IDU031,34,305,1,0
IDU031,35,313,1,0
IDU031,36,333,1,0
IDU031,37,-1,1,0
IDU031,38,252,1,0
IDU031,39,285,1,0
IDU031,40,281,1,0
IDU031,41,312,1,0
IDU031,42,304,1,0
IDU031,43,307,1,0
IDU031,44,374,1,0
IDU031,45,295,1,0
IDU031,46,271,1,0
IDU031,47,338,1,0
IDU031,48,280,1,0
IDU031,49,-1,1,0
IDU031,50,320,1,0
IDU031,51,290,1,0
IDU031,52,369,1,0
IDU031,53,-1,1,0
IDU031,54,327,1,0
IDU031,55,313,1,0
IDU031,56,349,1,0
IDU031,57,324,1,0
IDU031,58,-1,1,0
IDU031,59,682,1,0
IDU031,60,-1,1,0
IDU031,61,320,1,0
IDU031,62,313,1,0
IDU031,63,331,1,0
IDU031,64,-1,1,0
IDU031,65,242,1,0
IDU031,66,241,1,0
IDU031,67,-1,1,0
IDU031,68,265,1,0
IDU031,69,-1,1,0
IDU031,70,259,1,0
IDU031,71,289,1,0
IDU031,72,267,1,0
IDU031,73,-1,1,0
IDU031,74,313,1,0
IDU031,75,281,1,0
IDU031,76,279,1,0
IDU031,77,326,1,0
IDU033,1,355,1,0
IDU033,2,419,1,0
IDU033,3,-1,1,0
IDU033,4,361,1,0
IDU033,5,-1,1,0
IDU033,6,278,1,0
IDU033,7,376,1,0
IDU033,8,319,1,0
IDU033,9,283,1,0
IDU033,10,-1,1,0
IDU033,11,245,1,0
IDU033,12,335,1,0
IDU033,13,339,1,0
IDU033,14,312,1,0
IDU033,15,-1,1,0
IDU033,16,287,1,0
IDU033,17,304,1,0
IDU033,18,369,1,0
IDU033,19,391,1,0
IDU033,20,-1,1,0
IDU033,21,473,1,0
IDU033,22,301,1,0
IDU033,23,-1,1,0
IDU033,24,278,1,0
IDU033,25,418,1,0
IDU033,26,325,1,0
IDU033,27,411,1,0
IDU033,28,422,1,0
IDU033,29,392,1,0
IDU033,30,359,1,0
IDU033,31,-1,1,0
IDU033,32,266,1,0
IDU033,33,-1,1,0
IDU033,34,268,1,0
IDU033,35,335,1,0
IDU033,36,307,1,0
IDU033,37,341,1,0
